Commit ID,sw_adaptive,sw_corrective,sw_perfective,nfr_mainainability,nfr_usability,nfr_functionality,nfr_reliability,nfr_efficiency,nfr_portability,hl_forward,hl_reengineering,hl_corrective,hl_management,Commiter ID,Commit Message
1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,Add support for unowned/weak array elements
2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,drivers: Mark arrays as unowned instead of weak
3,1,0,0,0,1,1,0,0,0,1,0,0,0,1,ctypresolver: signals: register default implementations
4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,signals: collect default implementations
5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,embedded: Fix check() for relative paths
6,0,0,1,0,0,0,0,0,0,0,0,0,1,1,doap++
7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,gir-importer: docbook: process all <doc-* tags
8,1,0,0,0,0,1,0,0,0,1,0,0,0,1,gir: ignore type struct docs
9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,girmetadata: allow to override <ONLINE>
10,1,0,0,0,0,1,0,0,0,1,0,0,0,1,gir-importer: docbook: resolve internal links
11,1,0,0,0,0,1,0,0,0,1,0,0,0,1,gir-importer: markdown: resolve internal links
12,1,0,0,0,1,1,0,0,0,1,0,0,0,1,Allow to inherit from imported docs
13,0,1,0,0,0,1,0,0,0,0,0,1,0,1,"html: add <meta charset=""UTF-8""/>"
14,0,1,0,0,0,1,1,0,0,0,0,1,0,1,gir-importer: skip <union> elements without ctype-attributes
15,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Split process-comments into parse and check runs
16,1,0,0,0,1,1,0,0,0,1,0,0,0,1,"ctyperesolver, virtual signals: register function pointer names"
17,1,0,0,0,0,1,0,0,0,1,0,0,0,1,docbook: improve implicit parameter handling
18,1,0,0,0,1,1,0,0,0,1,0,0,0,1,Improve handling for c::this
19,1,0,0,0,0,1,0,0,0,1,0,0,0,1,docbook-parser: Accept symbols with trailing 's'
